respondent_id,level,format,experience,story,question,question_type,response_text,response_length_words,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,keyword_composite,sim_WAYPOINT0,sim_WAYPOINT1,sim_WAYPOINT2,sim_WAYPOINT3,prediction_top_sim,prediction_margin,predicted_waypoint,semantic_quality,has_semantic_score,overall_composite,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
R0001,WAYPOINT0,comic,,cat,q1,inference,I dont know.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.3346,0.3074,0.2788,0.567,0.2324,,0.4001,True,0.2401,,,,,,,,
R0001,WAYPOINT0,comic,,cat,q2,metacognitive,I just don't know the answer to it.,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9048,0.3537,0.4012,0.3377,0.9048,0.5035,WAYPOINT0,0.362,True,0.2172,,,,,,,,
R0001,WAYPOINT0,comic,,cat,q3,inference,always eat your vegetables before dessert.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872,0.4016,0.4347,0.3614,0.4347,0.0331,,0.4953,True,0.2972,,,,,,,,
R0001,WAYPOINT0,comic,,cat,q4,metacognitive,thats what my dad tells me every night.,8,0.0,0.2,0.0,0.25,0.0,0.0,1.0,0.0,0.0875,0.6817,0.3366,0.4326,0.3465,0.6817,0.2491,WAYPOINT0,0.4157,True,0.2844,,,,,,,,
R0001,WAYPOINT0,comic,,lying,q1,inference,Because her shirt is pink.,5,0.0,0.0,0.0,0.0,,,,,0.0,0.6059,0.4744,0.4769,0.3899,0.6059,0.129,,0.4447,True,0.2668,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,lying,q2,metacognitive,I like pink shirts and she is wearing one.,9,0.0,0.0,0.0,0.0,,,,,0.0,0.4981,0.4118,0.4046,0.3666,0.4981,0.0863,,0.4602,True,0.2761,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,lying,q3,inference,idk.,1,0.0,0.0,0.0,0.0,,,,,0.0,0.545,0.2618,0.2775,0.2421,0.545,0.2675,,0.3878,True,0.2327,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,lying,q4,metacognitive,nothing.,1,0.2,0.0,0.0,0.0,,,,,0.05,0.5315,0.3253,0.321,0.3381,0.5315,0.1934,,0.4357,True,0.2814,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,,stealing,q1,inference,because wallets hold pictures of peoples dogs.,7,0.0,0.0,0.0,0.0,,,,,0.0,0.4354,0.5211,0.4836,0.5004,0.5211,0.0208,,0.5135,True,0.3081,,,,,0.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,,stealing,q2,metacognitive,my mom has a picture of our dog in her wallet.,11,0.2,0.0,0.0,0.0,,,,,0.05,0.3381,0.4292,0.3253,0.435,0.435,0.0058,,0.5204,True,0.3322,,,,,0.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,,stealing,q3,inference,I don't really know.,4,0.0,0.0,0.0,0.0,,,,,0.0,0.677,0.3178,0.3323,0.2948,0.677,0.3447,WAYPOINT0,0.3837,True,0.2302,,,,,0.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,,stealing,q4,metacognitive,Cause I just dont know what a lesson is.,9,0.0,0.0,0.0,0.25,,,,,0.0375,0.505,0.3718,0.4186,0.3801,0.505,0.0864,,0.4674,True,0.2954,,,,,1.0,0.0,0.0,0.0
R0002,WAYPOINT0,text,,cat,q1,inference,Because red hair is cool.,5,0.2,0.2,0.0667,0.0,0.0,0.0,0.0,0.0,0.1233,0.4614,0.3138,0.3992,0.3162,0.4614,0.0622,,0.4608,True,0.3258,,,,,,,,
R0002,WAYPOINT0,text,,cat,q2,metacognitive,My cousin has red hair.,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.4429,0.3758,0.3855,0.3072,0.4429,0.0574,,0.4562,True,0.2937,,,,,,,,
R0002,WAYPOINT0,text,,cat,q3,inference,I don't know.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5993,0.318,0.3023,0.2765,0.5993,0.2813,,0.3904,True,0.2342,,,,,,,,
R0002,WAYPOINT0,text,,cat,q4,metacognitive,It's just a story about a cat.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4631,0.6174,0.3566,0.6058,0.6174,0.0116,,0.5136,True,0.3082,,,,,,,,
R0002,WAYPOINT0,text,,lying,q1,inference,I have no idea.,4,0.0,0.0,0.0,0.0,,,,,0.0,0.5645,0.4269,0.3655,0.3105,0.5645,0.1376,,0.4177,True,0.2506,0.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,text,,lying,q2,metacognitive,Because I wasn't there.,4,0.0,0.0,0.0,0.0,,,,,0.0,0.5954,0.4387,0.4421,0.4365,0.5954,0.1533,,0.4588,True,0.2753,0.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,text,,lying,q3,inference,You should use a pencil on math tests.,8,0.2,0.0,0.0,0.5,,,,,0.125,0.5626,0.4995,0.3146,0.3329,0.5626,0.0631,,0.4148,True,0.2989,1.0,0.0,1.0,0.0,,,,
R0002,WAYPOINT0,text,,lying,q4,metacognitive,Cause you have to bubble in the answers on the paper.,11,0.0,0.0,0.0,0.25,,,,,0.0375,0.4539,0.5361,0.3428,0.342,0.5361,0.0823,,0.4474,True,0.2834,1.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,text,,stealing,q1,inference,"I don't know, maybe he just likes wallets.",8,0.0,0.0,0.0,0.25,,,,,0.0375,0.5204,0.5637,0.5072,0.5573,0.5637,0.0063,,0.5042,True,0.3175,,,,,1.0,0.0,0.0,0.0
R0002,WAYPOINT0,text,,stealing,q2,metacognitive,I just guessed.,3,0.0,0.0,0.0,0.25,,,,,0.0375,0.5991,0.3584,0.4147,0.3885,0.5991,0.1843,,0.4455,True,0.2823,,,,,1.0,0.0,0.0,0.0
R0002,WAYPOINT0,text,,stealing,q3,inference,Ice cream is really good.,5,0.2,0.0,0.0,0.0,,,,,0.05,0.813,0.3691,0.3714,0.3304,0.813,0.4416,WAYPOINT0,0.3721,True,0.2433,,,,,0.0,0.0,0.0,0.0
R0002,WAYPOINT0,text,,stealing,q4,metacognitive,Because he ate ice cream at the shop.,8,0.2,0.0,0.0333,0.0,,,,,0.0617,0.7492,0.5104,0.4264,0.4536,0.7492,0.2389,WAYPOINT0,0.4244,True,0.2793,,,,,0.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,,cat,q1,inference,I don't know.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5568,0.3385,0.3204,0.3017,0.5568,0.2183,,0.414,True,0.2484,,,,,,,,
R0003,WAYPOINT0,text,,cat,q2,metacognitive,I just guessed.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5991,0.3452,0.3858,0.3186,0.5991,0.2133,,0.419,True,0.2514,,,,,,,,
R0003,WAYPOINT0,text,,cat,q3,inference,Cats are stinky.,3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5622,0.4659,0.2812,0.4565,0.5622,0.0963,,0.4526,True,0.2916,,,,,,,,
R0003,WAYPOINT0,text,,cat,q4,metacognitive,My dog is stinky sometimes too.,6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3525,0.3745,0.3223,0.3539,0.3745,0.0205,,0.4943,True,0.3166,,,,,,,,
R0003,WAYPOINT0,text,,lying,q1,inference,She likes to sit at desks.,6,0.0,0.0,0.0,0.0,,,,,0.0,0.8482,0.4335,0.4224,0.3829,0.8482,0.4147,WAYPOINT0,0.3876,True,0.2326,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,,lying,q2,metacognitive,Because they are in middle school.,6,0.0,0.0,0.0,0.0,,,,,0.0,0.4256,0.4344,0.4935,0.5133,0.5133,0.0198,,0.5288,True,0.3173,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,,lying,q3,inference,Math tests are 40 minutes.,5,0.2,0.0,0.0,0.0,,,,,0.05,0.5574,0.4563,0.2748,0.3087,0.5574,0.1011,,0.4032,True,0.2619,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,,lying,q4,metacognitive,Because the teacher said it.,5,0.0,0.0,0.0,0.0,,,,,0.0,0.4432,0.6157,0.3733,0.3837,0.6157,0.1725,,0.4614,True,0.2768,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,,stealing,q1,inference,I don't know.,3,0.0,0.0,0.0,0.0,,,,,0.0,1.0,0.35,0.3154,0.2959,1.0,0.65,WAYPOINT0,0.3176,True,0.1906,,,,,0.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,,stealing,q2,metacognitive,I just don't know.,4,0.0,0.0,0.0,0.25,,,,,0.0375,1.0,0.3005,0.3858,0.33,1.0,0.6142,WAYPOINT0,0.3409,True,0.2195,,,,,1.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,,stealing,q3,inference,Bikes cost 300 dollars.,4,0.2,0.0,0.0,0.0,,,,,0.05,0.3296,0.3792,0.3628,0.4358,0.4358,0.0566,,0.5334,True,0.34,,,,,0.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,,stealing,q4,metacognitive,It said 300 in the story.,6,0.2,0.0,0.0,0.0,,,,,0.05,0.5559,0.3576,0.3603,0.4253,0.5559,0.1305,,0.4618,True,0.2971,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,,cat,q1,inference,Because cats like to play with yarn.,7,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.7225,0.5043,0.5105,0.425,0.7225,0.212,WAYPOINT0,0.4317,True,0.274,,,,,,,,
R0004,WAYPOINT0,comic,,cat,q2,metacognitive,My cat at home plays with yarn a lot.,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7181,0.4516,0.2831,0.406,0.7181,0.2665,WAYPOINT0,0.4009,True,0.2405,,,,,,,,
R0004,WAYPOINT0,comic,,cat,q3,inference,I don't know what lesson it is.,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9244,0.5789,0.5562,0.4513,0.9244,0.3455,WAYPOINT0,0.4043,True,0.2426,,,,,,,,
R0004,WAYPOINT0,comic,,cat,q4,metacognitive,I just don't know.,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6012,0.3522,0.3866,0.3276,0.6012,0.2145,,0.4214,True,0.2528,,,,,,,,
R0004,WAYPOINT0,comic,,lying,q1,inference,I don't know.,3,0.0,0.0,0.0,0.0,,,,,0.0,0.5798,0.4224,0.3702,0.3008,0.5798,0.1575,,0.4114,True,0.2468,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,,lying,q2,metacognitive,I didn't know what to put.,6,0.0,0.0,0.0,0.0,,,,,0.0,0.8157,0.3992,0.4049,0.3853,0.8157,0.4107,WAYPOINT0,0.3931,True,0.2359,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,,lying,q3,inference,Don't go to school.,4,0.0,0.0,0.0,0.0,,,,,0.0,0.4823,0.486,0.4244,0.3834,0.486,0.0037,,0.4664,True,0.2798,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,,lying,q4,metacognitive,Because school is boring sometimes.,5,0.0,0.0,0.0,0.0,,,,,0.0,0.604,0.4939,0.3673,0.35,0.604,0.1101,,0.4184,True,0.251,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,,stealing,q1,inference,He likes to eat ice cream.,6,0.2,0.0,0.0333,0.0,,,,,0.0617,0.7948,0.4353,0.4501,0.4078,0.7948,0.3447,WAYPOINT0,0.4085,True,0.2698,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,,stealing,q2,metacognitive,Ice cream is really good.,5,0.2,0.0,0.0,0.0,,,,,0.05,0.9601,0.3073,0.4236,0.4812,0.9601,0.4789,WAYPOINT0,0.3987,True,0.2592,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,,stealing,q3,inference,I don't know.,3,0.0,0.0,0.0,0.0,,,,,0.0,0.638,0.3034,0.3144,0.282,0.638,0.3235,,0.3854,True,0.2312,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,,stealing,q4,metacognitive,Because I couldn't think of anything.,6,0.0,0.0,0.0,0.0,,,,,0.0,0.828,0.4454,0.392,0.3719,0.828,0.3825,WAYPOINT0,0.3837,True,0.2302,,,,,0.0,0.0,0.0,0.0
R0005,WAYPOINT1,text,,cat,q1,inference,He kept the cat because he saw how sad the cat was when it was wet and shaking.,18,0.2,0.0,0.0333,0.5,0.0,1.0,0.0,1.0,0.1367,0.598,0.9364,0.8358,0.7074,0.9364,0.1006,WAYPOINT1,0.5123,True,0.3621,,,,,,,,
R0005,WAYPOINT1,text,,cat,q2,metacognitive,The text says 'The red headed boy saw how sad the cat was. He walked over to it.',18,0.2,0.0,0.0,0.75,0.0,1.0,1.0,1.0,0.1625,0.473,0.7123,0.3677,0.5754,0.7123,0.1368,WAYPOINT1,0.4971,True,0.3633,,,,,,,,
R0005,WAYPOINT1,text,,cat,q3,inference,You can take a dirty cat to your house if the other boys are being mean to it.,18,0.6,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.1875,0.5022,0.6302,0.546,0.6172,0.6302,0.013,,0.5189,True,0.3863,,,,,,,,
R0005,WAYPOINT1,text,,cat,q4,metacognitive,"Because the story says the boys were laughing at the cat in the rain, so Bruno took him to his new home.",22,0.8,0.2,0.5,0.25,0.0,0.0,1.0,0.0,0.4625,0.3749,0.8809,0.4007,0.7415,0.8809,0.1394,WAYPOINT1,0.5431,True,0.5109,,,,,,,,
R0005,WAYPOINT1,text,,lying,q1,inference,Because Rachel whispered to her to not tell on her.,10,0.4,0.0,0.1333,0.0,,,,,0.1467,0.6421,0.8278,0.6483,0.71,0.8278,0.1178,WAYPOINT1,0.5014,True,0.3595,0.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT1,text,,lying,q2,metacognitive,I know because the story says Rachel said 'Don't tell on me. I'm your best friend'.,16,0.6,0.2,0.1333,0.25,,,,,0.2842,0.406,0.8244,0.6842,0.7459,0.8244,0.0786,WAYPOINT1,0.5551,True,0.4467,0.0,1.0,0.0,0.0,,,,
R0005,WAYPOINT1,text,,lying,q3,inference,Don't tell the teacher when your friend is copying answers.,10,0.2,0.0,0.0,0.0,,,,,0.05,0.4198,0.642,0.5529,0.5645,0.642,0.0775,,0.5264,True,0.3358,0.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT1,text,,lying,q4,metacognitive,Because Sarah just said 'Nothing is going on Ms. Craig' and continued taking her test.,15,0.6,0.0,0.1,0.25,,,,,0.2225,0.4325,0.6583,0.4594,0.6064,0.6583,0.0519,WAYPOINT1,0.5249,True,0.4039,1.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT1,text,,stealing,q1,inference,Because Billy wanted to use the $300 to buy the beautiful bike.,12,0.6,0.0,0.2,0.25,,,,,0.2575,0.4932,0.8034,0.7145,0.7207,0.8034,0.0827,WAYPOINT1,0.5362,True,0.4247,,,,,0.0,0.0,0.0,1.0
R0005,WAYPOINT1,text,,stealing,q2,metacognitive,"Because in the story Billy says 'With that money, I could buy that red bike!'",15,0.4,0.0,0.0667,0.0,,,,,0.1233,0.3421,0.8733,0.4849,0.7316,0.8733,0.1417,WAYPOINT1,0.5535,True,0.3814,,,,,0.0,0.0,0.0,0.0
R0005,WAYPOINT1,text,,stealing,q3,inference,Don't forget your wallet on the table when you go get ice cream.,13,0.2,0.25,0.0,0.0,,,,,0.1125,0.5482,0.4957,0.4467,0.4033,0.5482,0.0524,,0.4574,True,0.3194,,,,,0.0,0.0,0.0,0.0
R0005,WAYPOINT1,text,,stealing,q4,metacognitive,Because the lady left her wallet at the table and Billy grabbed it when she left.,16,0.8,0.0,0.1333,0.0,,,,,0.2467,0.4649,0.8505,0.5067,0.6444,0.8505,0.2061,WAYPOINT1,0.5131,True,0.4065,,,,,0.0,0.0,0.0,0.0
R0006,WAYPOINT1,text,,cat,q1,inference,"Because he saw that the cat was wet, cold, and sad.",11,0.2,0.0,0.0667,0.5,0.0,1.0,0.0,1.0,0.1483,0.5983,0.7928,0.6877,0.6431,0.7928,0.1051,WAYPOINT1,0.5018,True,0.3604,,,,,,,,
R0006,WAYPOINT1,text,,cat,q2,metacognitive,The story says he saw how sad the cat was and then he bent down and pet it.,18,0.2,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.125,0.4722,0.9151,0.4294,0.6039,0.9151,0.3112,WAYPOINT1,0.4938,True,0.3463,,,,,,,,
R0006,WAYPOINT1,text,,cat,q3,inference,You can be nice to sad cats.,7,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.075,0.5386,0.5865,0.4375,0.5475,0.5865,0.039,,0.4903,True,0.3242,,,,,,,,
R0006,WAYPOINT1,text,,cat,q4,metacognitive,Because Bruno saw how sad the cat was in the rain and decided to take it to his home anyway.,20,0.6,0.2,0.2667,0.75,0.0,1.0,1.0,1.0,0.4058,0.3913,0.9104,0.431,0.7614,0.9104,0.1491,WAYPOINT1,0.5422,True,0.4876,,,,,,,,
R0006,WAYPOINT1,text,,lying,q1,inference,Because Rachel told her to be quiet and not tell on her.,12,0.2,0.0,0.0667,0.0,,,,,0.0733,0.652,0.8028,0.6591,0.7163,0.8028,0.0865,WAYPOINT1,0.5029,True,0.3311,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT1,text,,lying,q2,metacognitive,Because Rachel whispered to her 'Don't tell on me. I'm your best friend'.,13,0.6,0.2,0.2667,0.25,,,,,0.3308,0.4342,0.7857,0.6873,0.7406,0.7857,0.0451,,0.5517,True,0.4633,0.0,1.0,0.0,0.0,,,,
R0006,WAYPOINT1,text,,lying,q3,inference,Don't copy other students' answers when you take a test.,10,0.2,0.0,0.0,0.0,,,,,0.05,0.4146,0.6895,0.4281,0.4579,0.6895,0.2316,WAYPOINT1,0.489,True,0.3134,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT1,text,,lying,q4,metacognitive,Because Rachel didn't study and then she just looked over the shoulder of the kid in front of her to copy his answers.,23,0.4,0.0,0.1333,0.0,,,,,0.1467,0.4264,0.8796,0.4215,0.5601,0.8796,0.3195,WAYPOINT1,0.4958,True,0.3562,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT1,text,,stealing,q1,inference,Because it had $300 inside of it and he wanted the red bike.,13,0.4,0.0,0.1333,0.25,,,,,0.1842,0.5998,0.7804,0.7271,0.6457,0.7804,0.0533,WAYPOINT1,0.5051,True,0.3767,,,,,0.0,0.0,0.0,1.0
R0006,WAYPOINT1,text,,stealing,q2,metacognitive,Because he opened it and said that with that money he could buy that red bike.,16,0.4,0.0,0.0667,0.0,,,,,0.1233,0.3782,0.7455,0.4675,0.6185,0.7455,0.1271,WAYPOINT1,0.5334,True,0.3694,,,,,0.0,0.0,0.0,0.0
R0006,WAYPOINT1,text,,stealing,q3,inference,Don't grab a lady's wallet if she leaves it at a table.,12,0.4,0.0,0.0,0.0,,,,,0.1,0.3436,0.5789,0.4933,0.4564,0.5789,0.0856,,0.5225,True,0.3535,,,,,0.0,0.0,0.0,0.0
R0006,WAYPOINT1,text,,stealing,q4,metacognitive,Because the lady forgot her wallet and Billy just grabbed it and then said he didn't know where it was.,20,0.6,0.0,0.1,0.25,,,,,0.2225,0.4482,0.9124,0.4956,0.6649,0.9124,0.2475,WAYPOINT1,0.5154,True,0.3982,,,,,1.0,0.0,0.0,0.0
R0007,WAYPOINT1,comic,,cat,q1,inference,Because he saw how sad the cat was in the rain and he wanted to give it a new home.,20,0.4,0.2,0.2,0.75,0.0,1.0,1.0,1.0,0.3325,0.597,0.8521,0.7385,0.6848,0.8521,0.1136,WAYPOINT1,0.5087,True,0.4382,,,,,,,,
R0007,WAYPOINT1,comic,,cat,q2,metacognitive,"The box at the top says he saw how sad the cat was, and then his speech bubble says he is taking it to his home.",26,0.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,0.1125,0.5378,0.6835,0.3885,0.54,0.6835,0.1435,WAYPOINT1,0.4776,True,0.3316,,,,,,,,
R0007,WAYPOINT1,comic,,cat,q3,inference,You can pet a cat and take it home even if your friends say they won't play basketball with you.,20,0.4,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.1375,0.5326,0.547,0.4799,0.5459,0.547,0.0011,,0.4978,True,0.3537,,,,,,,,
